molher	senhora	4
tempestade	temporal	4
morte	conselho	0
casa	porta	2
parentesco	amizade	3
crato	sabedoria	0
fiança	mesa	0
povo	gente	4
guerra	batalha	2.5
cabeça	olhos	2
força	sabor	0
plularidade	alteza	0
coitade	pena	3
mar	lago	3
amor	bondade	2.5
porto	hoste	0.5
alma	spiritu	3.5
mesageiros	portador	2
tarife	arvores	0
nacimento	parto	4
sone	cansaço	2.5
saçerdote	miragre	1.5
testemunhas	coraçom	0
companha	campo	0
maneira	custume	0
magestade	grandeza	3.5
homẽ	justiça	0
façanha	feitos	4
filho	irmão	2.5
familia	tia	2
obra	trabalho	4
prinçipio	começo	4
missa	escudeiro	0
perfeiçã	cadeira	0
comde	castello	2
dereito	ley	2
pagamento	feira	2.5
reyno	razom	0
rey	enperador	3.5
recado	leon	0
mẽbros	guiador	0
prazer	alegria	3.5
ventos	neve	2.5
religiom	cardeal	2
fogo	donzela	0
aventuira	jornadas	2.5
desvairo	loucura	4
meestre	gloria	0
corpo	braço	2
beiços	afeiçom	0.5
propiedade	bens	4
peẽdẽça	parte	2
desposiçom	mercadores	0
pedra	herdade	0.5
vida	assunto	0
monjes	frade	3.5
nenbros	escritura	0
cavaleiro	espada	2
semelhauees	caridade	0
enqueredores	filosapho	0.5
paciẽcia	virtude	2.5
nome	casal	0
lugar	praça	3
feria	clerigo	0.5
carualhos	ovelhas	1.5
trombeta	canto	1
porco	carne	2
padre	caminho	0
canas	piedade	0
privilegios	paredes	0
serviço	dinheiro	1.5
morador	vinha	0
amigo	companheiro	4
bispo	cruz	1.5
escaramuça	combate	3
dias	hora	2
corno	alteza	0
cunhado	sogra	2
maliçia	muro	0
iffante	principe	4
deviindade	igreja	1.5
mosteiro	pecado	1
habito	espanto	0
ladeira	monte	1.5
aueença	enfermidade	0
tempo	annos	2
dor	sangue	1.5
deferença	honra	1
rregimento	vozes	0.5
terra	mundo	3.5
cidade	villa	2.5
barro	riqueza	0.5
boca	palavras	1
cavalo	besta	2
procurador	sinal	0.5
armas	lança	2
documento	letra	1.5
